,ts,wspd,humidity,tempe,icon
153,2016-12-14 01:00:00,2.22222222222,91.0,6.0,http://icons.wxug.com/i/c/k/nt_chancerain.gif
154,2016-12-14 02:00:00,2.22222222222,91.0,6.0,http://icons.wxug.com/i/c/k/nt_chancerain.gif
155,2016-12-14 03:00:00,1.66666666667,93.0,6.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
156,2016-12-14 04:00:00,1.66666666667,93.0,6.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
157,2016-12-14 05:00:00,1.66666666667,92.0,6.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
158,2016-12-14 06:00:00,1.66666666667,93.0,6.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
159,2016-12-14 07:00:00,1.66666666667,91.0,5.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
160,2016-12-14 08:00:00,1.38888888889,90.0,5.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
161,2016-12-14 09:00:00,1.66666666667,91.0,5.0,http://icons.wxug.com/i/c/k/mostlycloudy.gif
162,2016-12-14 10:00:00,1.66666666667,88.0,6.0,http://icons.wxug.com/i/c/k/mostlycloudy.gif
163,2016-12-14 11:00:00,1.66666666667,83.0,7.0,http://icons.wxug.com/i/c/k/mostlycloudy.gif
164,2016-12-14 12:00:00,2.22222222222,78.0,8.0,http://icons.wxug.com/i/c/k/mostlycloudy.gif
165,2016-12-14 13:00:00,2.22222222222,74.0,8.0,http://icons.wxug.com/i/c/k/mostlycloudy.gif
166,2016-12-14 14:00:00,2.77777777778,70.0,8.0,http://icons.wxug.com/i/c/k/mostlycloudy.gif
167,2016-12-14 15:00:00,2.77777777778,72.0,8.0,http://icons.wxug.com/i/c/k/mostlycloudy.gif
168,2016-12-14 16:00:00,2.77777777778,76.0,7.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
169,2016-12-14 17:00:00,2.22222222222,80.0,6.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
170,2016-12-14 18:00:00,2.22222222222,84.0,5.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
171,2016-12-14 19:00:00,2.22222222222,87.0,4.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
172,2016-12-14 20:00:00,1.66666666667,87.0,4.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
173,2016-12-14 21:00:00,1.66666666667,87.0,4.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
174,2016-12-14 22:00:00,1.66666666667,89.0,3.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
175,2016-12-14 23:00:00,1.66666666667,90.0,3.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
176,2016-12-15 00:00:00,1.38888888889,92.0,3.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
177,2016-12-15 01:00:00,1.38888888889,93.0,3.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
178,2016-12-15 02:00:00,1.38888888889,93.0,3.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
179,2016-12-15 03:00:00,1.38888888889,91.0,3.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
180,2016-12-15 04:00:00,1.38888888889,90.0,3.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
181,2016-12-15 05:00:00,1.38888888889,90.0,3.0,http://icons.wxug.com/i/c/k/nt_partlycloudy.gif
182,2016-12-15 06:00:00,1.38888888889,90.0,3.0,http://icons.wxug.com/i/c/k/nt_mostlycloudy.gif
